id,osm_id,name,number,street,postal_code,city,country,country_code,status,lat,lon,website,phone,fax,opening_days,closing_days,stats,tags,description
0126901,2730492678,Musée de la Résistance et de la Déportation de l'Ain,3,Montée de l'Abbaye,01130,Nantua,France,fr,,46.1523788,5.6087658,www.musees.ain.fr,0474750750,0474752758,"Ouvert du 1er mars au 15 novembre, du mercredi au lundi de 10h à 12h30 et de 13h30 à 18h00","1er mai,  lundi de la Pentecôte, 1er novembre",label-date:01/02/2003,label:musee de france,
4316201,48400960,Musée des Manufactures de Dentelles,,Avenue de la Gare,43130,Retournac,France,fr,,45.20250470480847,4.035278575562211,www.ville-retournac.fr/musee,0471594163,0471594155,Ouvert tous les jours de 14h à 18h / et de 14h à 19h en juillet et août. .,Du 16 décembre au 14 mars et le 1er mai,label-date:22/04/2002,label:musee de france,
1458201,110555914,Château de Saint-Germain de Livet,,D 268A,14100,Saint-Germain-de-Livet,France,fr,,49.074799449928506,0.19101154967583153,www.lintercom.fr,0231310003,0231310003,"Ouvert de début janvier au 31 mars le week-end de 14h à 18h, du 1er avril au 30 juin du mardi au dimanche de 11h à 13h et de 14h à 18h,  en juillet-août tous les jours de 11h à 18h et du 1er septembre au 6 novembre du mardi au dimanche de 11h à 13h et de","1er mai, du 1er décembre au 31 janvier, et du 1er octobre au 15 octobre",label-date:01/02/2003,label:musee de france,
9743501,81886911,Musée Historique de Villèle,,Chemin Féoga n°1,97423,Petite France,France,fr,,-21.045987129030802,55.32135352453595,Site internet du Conseil général - http//www.cg974.fr,0262556410,0262555191,Ouvert du mardi au dimanche et les jours fériés de 9h30 à 12h30 et de 13h30 à 17h30,"1er janvier, 1er mai, 25 décembre",label-date:01/02/2003,label:musee de france,
7511503,409819224,Musée du Maréchal Leclerc de Hautecloque et de la Libération de Paris - Musée Jean Moulin,,Allée de la 2e Division Blindée,75015,Paris,France,fr,,48.8399493,2.3190224591182114,www.museesleclercmoulin.paris.fr,0140643944,0143212830,Ouvert du mardi au dimanche de 10h à 18h,,label-date:08/07/2004,label:musee de france,
7662401,240672661,Association de l'Horlogerie Aliermontaise,,,76510,Saint-Jacques-d'Aliermont,France,fr,,49.842261246361325,1.2419999109658681,www.musee-horlogerie-aliermont.fr,0235045398,0235856008,"Ouvert du 1er juin au 30 septembre du mardi au dimanche de 10h à 12h et de 14h à 18h, du 1er octobre au 31 décembre et du 16 février au 31 mai du mercredi au dimanche de 14h30 à 18h. Toute l'année sur réservation pour les groupes","Janvier à mi-février, 1er mai, 1er et 11 novembre, 25 décembre",label-date:01/02/2003,label:musee de france,
1601503,8129140054,Musée Archéologique et Historique,44,Rue de Montmoreau,16000,Saint-Cybard,France,fr,,45.6477606,0.1609176,site de société archéologique - www.sahc-charente.org,0545949075,0545949075,,,label-date:01/02/2003,label:musee de france,
3155509,2012829800,Muséum d'Histoire Naturelle,35,Allées Jules Guesde,31000,Toulouse,France,fr,,43.5941825,1.4489496,www.museum.toulouse.fr,0567738484,0567738448,Ouvert de 10h à 18h du mardi au dimanche,"1er janvier, 1er mai, 25 décembre",label-date:06/01/2002,label:musee de france,
6604902,,Musée départemental d'Art Moderne,8,Bd Maréchal Joffre B.P. 60413,66403,CERET Cedex,France,fr,,,,www.musee-ceret.com,0468873192,0468873192,"Ouvert du 1er juillet au 30 septembre tous les jours de 10h à 19h, le reste de l'année de 10h à 17h. Ouverture exceptionnelle lundi de Pâques et lundi de Pentecôte","1er janvier, 1er mai, 1er novembre, 25 décembre",label-date:01/02/2003,label:musee de france,
5300301,277287315,Musée des Tisserands Mayennais,,Place Billard de Veaux,53300,Ambrières-les-Vallées,France,fr,,48.403429,-0.6308390478723407,Site de la ville,0243049619,0243089738,Ouvert en juillet août de 14h30 à 18h30 du mardi au dimanche. Ouvert pour les groupes sur rendez-vous toute l'année,,label-date:01/02/2003,label:musee de france,
1300101,87741780,Musée du Pavillon de Vendôme,13,Rue de la Molle,13100,Aix-en-Provence,France,fr,,43.5311451,5.442097351888718,www.aixenprovence.fr/Pavillon-de-Vendome-465,0442918875,0442918873,Ouvert du 1er janvier au 14 avril du mercredi au lundi de 10h à 12h30 et de 13h30 à 17h et à partir du 15 avril du mercredi au lundi de 10h à 12h30 et de 13h30 à 18h,"1er mai, 25 décembre",label-date:01/02/2003,label:musee de france,
0608808,137241044,Musée du Palais Lascaris,15,Rue Droite,06300,Nice,France,fr,,43.6976635,7.277148734288097,http://www.nice.fr/fr/culture/musees-et-galerie/palais-lascaris-le-palais,0493627240,0493920419,Ouvert du mercredi au lundi de 10h à 18h,"1er janvier, dimanche de Pâques, 1er mai, 25 décembre",label-date:01/02/2003,label:musee de france,
8313704,27359797,Musée National de la Marine de Toulon,,Rue des Cottages Fleuris,832000,Toulon,France,fr,,43.136397501361664,5.932760443729787,www.musee-marine.fr/toulon,0494020201,0494021588,Ouvert d'octobre à mai du mercredi au lundi de 10h à 18h et de juin à septembre tous les jours de 10h à 18h,"1er janvier, 1er mai, 25 décembre",label-date:06/01/2002,label:musee de france,
8313701,38422621,Muséum d'Histoire Naturelle de Toulon et du Var,,Route du Faron,832000,Toulon,France,fr,,43.15226828593683,5.937168470121429,www.museum-toulonvar.fr,0483954420,0483954428,Ouvert du mardi au dimanche de 9h à 18h du 1er mars au 30 novembre et de 9h à 17h du 1er décembre au 28 février,Jours fériés,label-date:01/02/2003,label:musee de france,
4115801,636023615,Atelier Musée Louis Leygue,,Rue des Venages,41100,Naveil,France,fr,,47.7939429,1.0312301,,0254772613,0254894358,Ouvert quatre après-midi dans l'année (2 en juillet et  2 en août). Permanence assurée par le personnel du musée Vendôme,,label-date:01/02/2003,label:musee de france,
5606901,175791621,Ecomusée de l'Île de Groix,,Rue Francis Stéphant,56590,Groix,France,fr,,47.6397756005466,-3.444878551643307,http://ecomusee.groix.free.fr,0297868460,0297865651,"Ouvert de mai à septembre tous les jours de 9h45 à 12h30 et de 14h à  18h, d'octobre à novembre et avril du mardi au dimanche de 9h45 à 12h et de 14h à 17h, de décembre à mars le mercredi, samedi et dimanche (sauf vacances scolaires du mercredi au dimanch",Jours fériés,label-date:01/02/2003,label:musee de france,
7055001,121376962,Musée Georges Garret,,Place de l'Église,70000,Vesoul,France,fr,,47.62334,6.156087,Site des musées de la région,0384765154,0384767969,Ouvert du mercredi au lundi de 14h à 18h. Groupes sur réservation le matin,"1er janvier, 1er mai, 25 novembre, lundi de Pâques, vacances de Noël",label-date:01/02/2003,label:musee de france,
0819001,314090013,Musée de Givet,,Rue du Charnois,08600,Rancennes,France,fr,,50.11351842685375,4.8203316836820855,,0324420684,0324420244,,,label-date:01/02/2003,label:musee de france,
0216801,1827255699,Musée Jean de la Fontaine,14,Rue Jean De La Fontaine,02400,Château-Thierry,France,fr,,49.0471471,3.4004106,www.musee-jean-de-la-fontaine.fr,0323690560,0323833561,Ouvert du mardi au dimanche de 9h30 à 12h et de 14h à 17h30,"1er janvier, 1er mai, 1er novembre, 25 décembre",label-date:01/02/2003,label:musee de france,
6822409,,Musée Minéralogique de la Société Industrielle de Mulhouse,3,Avenue Alfred-Werner,68093,MULHOUSE CEDEX,France,fr,,,,,0389336888,0389336885,,,label-date:01/02/2003,label:musee de france,
6811201,70324384,Musée Théodore Deck et des Pays du Florival,,Rue Casimir De Rathsamhausen,68500,Guebwiller,France,fr,,47.905804950000004,7.21451418695769,www.ville-guebwiller.fr/musee-deck/,0389742289,0389741323,"Ouvert le lundi et du mercredi au vendredi de 14h à 18h, les week-ends et jours féris de 10h à 12h et de 14h à 18h",,label-date:01/02/2003,label:musee de france,
7510706,1002192,Musée National de la Légion d'Honneur et des Ordres de Chevalerie,,Rue de Solférino,75007,Paris,France,fr,,48.86049095,2.324779200807514,www.legiondhonneur.fr,0140628425,0140628496,Ouvert du mercredi au dimanche de 13h à 18h. Accessible le mardi pour les groupes sur réservation,"1er janvier, 1er mai, 15 août, 1er novembre et 25 décembre",label-date:06/01/2002,label:musee de france,
