osm_id,name,number,street,postal_code,city,country,country_code,lat,lon,website,email,phone,fax,tags,description,date_added,wikidata
10532290,,,,,,,,,,,,,,osm:museum;type:a classer,,2014-03-17T20:05:52Z,
10533510,,,,,,,,,,,,,,osm:museum;type:a classer,,2014-03-17T20:05:52Z,
21609292,Monument aux morts de l'île du Souvenir,,Allée du Souvenir Français,69006,Lyon,France,fr,45.7806667,4.8519176,,,,,osm:museum;type:a classer,,2020-05-01T15:07:48Z,Q17341711
26983555,,,,,,,,,,,,,,osm:museum;type:a classer,,2019-09-22T13:46:23Z,
28147831,,,,,,,,,,,,,,osm:museum;type:a classer,,2014-01-17T13:36:07Z,
28147832,,,,,,,,,,,,,,osm:museum;type:a classer,,2014-01-17T13:36:07Z,
28147833,,,,,,,,,,,,,,osm:museum;type:a classer,,2009-08-29T02:23:18Z,
28147835,,,,,,,,,,,,,,osm:museum;type:a classer,,2014-01-17T13:36:07Z,
28147836,,,,,,,,,,,,,,osm:museum;type:a classer,,2018-11-04T15:33:06Z,
28147837,,,,,,,,,,,,,,osm:museum;type:a classer,,2018-11-04T15:33:06Z,
28147838,,,,,,,,,,,,,,osm:museum;type:a classer,,2018-11-04T15:33:06Z,
28147839,,,,,,,,,,,,,,osm:museum;type:a classer,,2018-11-04T15:33:06Z,
28147840,,,,,,,,,,,,,,osm:museum;type:a classer,,2018-11-04T15:33:06Z,
28147841,,,,,,,,,,,,,,osm:museum;type:a classer,,2018-11-04T15:33:06Z,
28147842,,,,,,,,,,,,,,osm:museum;type:a classer,,2014-01-17T13:36:08Z,
28154271,,,,,,,,,,,,,,osm:museum;type:a classer,,2010-08-05T21:04:45Z,
28154272,,,,,,,,,,,,,,osm:museum;type:a classer,,2010-08-05T21:05:38Z,
28154273,,,,,,,,,,,,,,osm:museum;type:a classer,,2010-08-05T21:05:28Z,
28154274,,,,,,,,,,,,,,osm:museum;type:a classer,,2010-08-05T21:05:08Z,
28154275,,,,,,,,,,,,,,osm:museum;type:a classer,,2014-01-09T14:42:19Z,
28215901,,,,,,,,,,,,,,osm:museum;type:a classer,,2020-09-13T22:21:31Z,
28215902,,,,,,,,,,,,,,osm:museum;type:a classer,,2020-09-13T22:21:31Z,
28215903,,,,,,,,,,,,,,osm:museum;type:a classer,,2020-09-13T22:21:31Z,
28215904,,,,,,,,,,,,,,osm:museum;type:a classer,,2020-09-13T22:21:31Z,
28215905,,,,,,,,,,,,,,osm:museum;type:a classer,,2020-09-13T22:21:31Z,
28215910,,,,,,,,,,,,,,osm:museum;type:a classer,,2020-09-13T22:21:31Z,
28215912,,,,,,,,,,,,,,osm:museum;type:a classer,,2020-09-13T22:21:31Z,
28215913,,,,,,,,,,,,,,osm:museum;type:a classer,,2020-09-13T22:21:31Z,
28215914,,,,,,,,,,,,,,osm:museum;type:a classer,,2020-09-13T22:21:31Z,
28215915,,,,,,,,,,,,,,osm:museum;type:a classer,,2020-09-13T22:21:31Z,
28215916,,,,,,,,,,,,,,osm:museum;type:a classer,,2020-09-13T22:21:31Z,
28215917,,,,,,,,,,,,,,osm:museum;type:a classer,,2020-09-13T22:21:31Z,
28215918,,,,,,,,,,,,,,osm:museum;type:a classer,,2020-09-13T22:21:31Z,
28239019,,,,,,,,,,,,,,osm:museum;type:a classer,,2019-01-01T18:55:09Z,
28239021,,,,,,,,,,,,,,osm:museum;type:a classer,,2019-01-01T18:55:09Z,
28239023,,,,,,,,,,,,,,osm:museum;type:a classer,,2019-01-01T18:55:09Z,
28239026,,,,,,,,,,,,,,osm:museum;type:a classer,,2019-01-01T18:55:09Z,
28239598,,,,,,,,,,,,,,osm:museum;type:a classer,,2017-12-26T23:51:40Z,
28239599,,,,,,,,,,,,,,osm:museum;type:a classer,,2017-12-26T23:51:41Z,
28239600,,,,,,,,,,,,,,osm:museum;type:a classer,,2017-12-26T23:51:42Z,
28239601,,,,,,,,,,,,,,osm:museum;type:a classer,,2017-12-26T23:51:42Z,
28239602,,,,,,,,,,,,,,osm:museum;type:a classer,,2017-12-26T23:51:39Z,
28239603,,,,,,,,,,,,,,osm:museum;type:a classer,,2017-12-26T23:51:40Z,
28239604,,,,,,,,,,,,,,osm:museum;type:a classer,,2017-12-26T23:51:41Z,
28239605,,,,,,,,,,,,,,osm:museum;type:a classer,,2017-12-26T23:51:41Z,
28239606,,,,,,,,,,,,,,osm:museum;type:a classer,,2017-12-26T23:51:42Z,
28239607,,,,,,,,,,,,,,osm:museum;type:a classer,,2017-12-26T23:51:42Z,
28239608,,,,,,,,,,,,,,osm:museum;type:a classer,,2017-12-26T23:51:40Z,
28239609,,,,,,,,,,,,,,osm:museum;type:a classer,,2017-12-26T23:51:40Z,
28239610,,,,,,,,,,,,,,osm:museum;type:a classer,,2017-12-26T23:51:41Z,
28239611,,,,,,,,,,,,,,osm:museum;type:a classer,,2017-12-26T23:51:42Z,
28239612,,,,,,,,,,,,,,osm:museum;type:a classer,,2017-12-26T23:51:42Z,
28239613,,,,,,,,,,,,,,osm:museum;type:a classer,,2017-12-26T23:51:43Z,
28239614,,,,,,,,,,,,,,osm:museum;type:a classer,,2017-12-26T23:51:40Z,
28239615,,,,,,,,,,,,,,osm:museum;type:a classer,,2017-12-26T23:51:40Z,
28239616,,,,,,,,,,,,,,osm:museum;type:a classer,,2017-12-26T23:51:41Z,
28239617,,,,,,,,,,,,,,osm:museum;type:a classer,,2017-12-26T23:51:42Z,
28239618,,,,,,,,,,,,,,osm:museum;type:a classer,,2017-12-26T23:51:42Z,
28239619,,,,,,,,,,,,,,osm:museum;type:a classer,,2017-12-26T23:51:39Z,
28239620,,,,,,,,,,,,,,osm:museum;type:a classer,,2017-12-26T23:51:40Z,
28239621,,,,,,,,,,,,,,osm:museum;type:a classer,,2017-12-26T23:51:41Z,
28239622,,,,,,,,,,,,,,osm:museum;type:a classer,,2017-12-26T23:51:41Z,
28239623,,,,,,,,,,,,,,osm:museum;type:a classer,,2017-12-26T23:51:42Z,
