id,osm_id,name,city,country,country_code,status,year,stats,tags
6738801,,Musée du Fer,REICHSHOFFEN,France,fr,open,2015,payant:1474;gratuit:673;total:2147;mdf-date:01/02/2003,label:musee de france
6748202,,Musée Archéologique,STRASBOURG,France,fr,open,2015,payant:19154;gratuit:28662;total:47816;mdf-date:06/01/2002,label:musee de france
6806602,,Musée d'Histoire Naturelle et d'Ethnographie de Colmar,COLMAR,France,fr,open,2015,payant:7918;gratuit:6367;total:14285;mdf-date:01/02/2003,label:musee de france
6816401,,Musée du Vignoble et des Vins d'Alsace,KAYSERSBERG VIGNOBLE,France,fr,open,2015,payant:2911;gratuit:40;total:2951;mdf-date:01/02/2003,label:musee de france
6822408,,Musée Historique,MULHOUSE,France,fr,open,2015,payant:0;gratuit:32426;total:32426;mdf-date:01/02/2003,label:musee de france
6823101,,Musée Vauban,NEUF-BRISACH,France,fr,open,2015,payant:2621;gratuit:0;total:2621;mdf-date:01/02/2003,label:musee de france
6827702,,Musée du Dolder,RIQUEWIHR,France,fr,open,2015,payant:1657;gratuit:391;total:2048;mdf-date:01/02/2003,label:musee de france
6827801,,Musée du Papier Peint,RIXHEIM,France,fr,open,2015,payant:5571;gratuit:5000;total:10571;mdf-date:01/02/2003,label:musee de france
2406401,,Musée Fernand Desmoulin,BRANTOME,France,fr,open,2015,payant:19490;gratuit:2716;total:22206;mdf-date:01/02/2003,label:musee de france
2417204,,Musée National de la Préhistoire,LES EYZIES-DE-TAYAC,France,fr,open,2015,payant:39750;gratuit:33781;total:73531;mdf-date:06/01/2002,label:musee de france
2432201,,Musée d'Art et d'Archéologie du Périgord (MAAP),PERIGUEUX,France,fr,open,2015,payant:6784;gratuit:15673;total:22457;mdf-date:01/02/2003,label:musee de france
2432203,,Musée Gallo-Romain de Vesunna,PERIGUEUX,France,fr,open,2015,payant:20967;gratuit:15964;total:36931;mdf-date:23/10/2009,label:musee de france
2437901,,Musée du Site Médiéval,SAINT-AVIT-SENIEUR,France,fr,closed,2015,payant:0;gratuit:0;total:;mdf-date:01/02/2003,label:musee de france
3306305,,Muséum d'Histoire Naturelle de Bordeaux,BORDEAUX,France,fr,open,2015,payant:0;gratuit:14392;total:14392;mdf-date:01/02/2003,label:musee de france
3306301,,CAPC Musée d'Art Contemporain de Bordeaux,BORDEAUX,France,fr,open,2015,payant:45846;gratuit:53283;total:99129;mdf-date:01/02/2003,label:musee de france
3324302,,Musée Historique ou du Vieux Libourne (Robin),LIBOURNE,France,fr,closed,2015,payant:0;gratuit:0;total:;mdf-date:01/02/2003,label:musee de france
3339401,,Musée d'Histoire et d'Archéologique,SAINT-EMILION,France,fr,closed,2015,payant:0;gratuit:0;total:;mdf-date:01/02/2003,label:musee de france
4004601,,Musée Historique de l'Hydravion,BISCARROSSE,France,fr,open,2015,payant:17081;gratuit:1943;total:19024;mdf-date:01/02/2003,label:musee de france
4012001,,Musée Départemental d'Histoire et d'Archéologie,HASTINGUES,France,fr,open,2015,payant:4759;gratuit:5798;total:10557;mdf-date:01/02/2003,label:musee de france
4019201,,Musée Despiau-Wlérick,MONT-DE-MARSAN,France,fr,open,2015,payant:0;gratuit:12377;total:12377;mdf-date:01/02/2003,label:musee de france
4019401,,Musée de la Chalosse,MONTFORT-EN-CHALOSSE,France,fr,open,2015,payant:5277;gratuit:3249;total:8526;mdf-date:01/02/2003,label:musee de france
0319002,,Centre National du Costume de Scène et de la Scénographie,MOULINS,France,fr,open,2015,payant:44846;gratuit:15642;total:60488;mdf-date:23/10/2009,label:musee de france
1501401,,Musée des Sciences,AURILLAC,France,fr,open,2015,payant:2901;gratuit:6549;total:9450;mdf-date:01/02/2003,label:musee de france
1518702,,Musée d'art et d'histoire Alfred Douët,SAINT-FLOUR,France,fr,open,2015,payant:1000;gratuit:1035;total:2035;mdf-date:01/02/2003,label:musee de france
6319501,,Musée Départemental de la Céramique Gallo-Romaine,LEZOUX,France,fr,open,2015,payant:5133;gratuit:3691;total:8824;mdf-date:01/02/2003,label:musee de france
6343001,,Musée Municipal de la Coutellerie,THIERS,France,fr,open,2015,payant:19344;gratuit:4169;total:23513;mdf-date:01/02/2003,label:musee de france
2103801,,Musée Bonaparte,AUXONNE,France,fr,closed,2015,payant:0;gratuit:0;total:;mdf-date:01/02/2003,label:musee de france
2105401,,Musée du Vin de Bourgogne,BEAUNE,France,fr,open,2015,payant:13167;gratuit:3600;total:16767;mdf-date:01/02/2003,label:musee de france
2123103,,Musée Magnin,DIJON,France,fr,open,2015,payant:6798;gratuit:10314;total:17112;mdf-date:06/01/2002,label:musee de france
2142502,,Musée des Beaux-Arts,MONTBARD,France,fr,open,2015,payant:0;gratuit:0;total:;mdf-date:01/02/2003,label:musee de france
5805901,,Musée Municipal,LA CHARITE-SUR-LOIRE,France,fr,closed,2015,payant:0;gratuit:0;total:;mdf-date:01/02/2003,label:musee de france
7101401,,Musée Verger Tarin,AUTUN,France,fr,closed,2015,payant:0;gratuit:0;total:;mdf-date:01/02/2003,label:musee de france
7104001,,Musée de la Mine,BLANZY,France,fr,open,2015,payant:9339;gratuit:1173;total:10512;mdf-date:01/02/2003,label:musee de france
7110601,,Musée René Davoine,CHAROLLES,France,fr,open,2015,payant:0;gratuit:84;total:84;mdf-date:01/02/2003,label:musee de france
7134201,,Musée Eucharistique du Hiéron,PARAY-LE-MONIAL,France,fr,open,2015,payant:4116;gratuit:5079;total:9195;mdf-date:01/02/2003,label:musee de france
7135101,,Ecomusée de la Bresse Bourguignonne,PIERRE-DE-BRESSE,France,fr,open,2015,payant:26262;gratuit:15427;total:41689;mdf-date:01/02/2003,label:musee de france
7154301,,Hôtel Dieu - Musée Greuze,TOURNUS,France,fr,open,2015,payant:7331;gratuit:2549;total:9880;mdf-date:01/02/2003,label:musee de france
8936801,,Musée Colette,SAINT-SAUVEUR-EN-PUISAYE,France,fr,open,2015,payant:5148;gratuit:1372;total:6520;mdf-date:01/02/2003,label:musee de france
